Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/27/ 21:52:58,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:59,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:59,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:59,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:53:00,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:53:00,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:53:01,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:53:01,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:53:02,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:53:03,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:53:03,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:53:04,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:53:04,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:53:04,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:53:05,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:53:05,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:53:06,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-33,-22,0,37,1,134,105,100,0
2022/09/27/ 21:53:07,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-33,-22,0,38,1,134,105,100,0
2022/09/27/ 21:53:07,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:53:07,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:53:08,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:53:08,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:53:09,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:53:09,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:53:10,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:53:10,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:53:11,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:53:11,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:53:12,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-55,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:53:12,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
